source,member,bytes,role,extracted
提示词/10_AI辅助绘制论文摘要图Graphical_Abstract提示词2.0-迪娜学姐.pdf,,322078,PDF 3 页,scan/pdf_text/10_AI辅助绘制论文摘要图Graphical_Abstract提示词2.0-迪娜学姐.md
提示词/11_AI辅助论文中译英-通用prompt_2.0-迪娜学姐.pdf,,281363,PDF 4 页,scan/pdf_text/11_AI辅助论文中译英-通用prompt_2.0-迪娜学姐.md
提示词/12_AI辅助论文精细化润色通用提示词Prompt_2.0-迪娜学姐.pdf,,304763,PDF 3 页,scan/pdf_text/12_AI辅助论文精细化润色通用提示词Prompt_2.0-迪娜学姐.md
提示词/13__AI辅助论文精简缩写提示词2.0-迪娜学姐.pdf,,347859,PDF 4 页,scan/pdf_text/13__AI辅助论文精简缩写提示词2.0-迪娜学姐.md
提示词/14_AI辅助论文高效降重prompt2.0-迪娜学姐 .pdf,,802287,PDF 5 页,scan/pdf_text/14_AI辅助论文高效降重prompt2.0-迪娜学姐 .md
提示词/15_论文预评审提示词2.0-迪娜学姐.pdf,,362042,PDF 4 页,scan/pdf_text/15_论文预评审提示词2.0-迪娜学姐.md
提示词/16 AI选刊提示词、撰写cover letter提示词2.0-迪娜学姐.pdf,,120410,PDF 3 页,scan/pdf_text/16 AI选刊提示词、撰写cover letter提示词2.0-迪娜学姐.md
提示词/17_回复审稿意见提示词2.0-迪娜学姐.pdf,,359037,PDF 6 页,scan/pdf_text/17_回复审稿意见提示词2.0-迪娜学姐.md
提示词/18_Proof校对提示词2.0-迪娜学姐.pdf,,315229,PDF 3 页,scan/pdf_text/18_Proof校对提示词2.0-迪娜学姐.md
提示词/1_AI选题提示词2.0-迪娜学姐.pdf,,341133,PDF 3 页,scan/pdf_text/1_AI选题提示词2.0-迪娜学姐.md
提示词/2_论文精读提示词2.0-迪娜学姐.pdf,,346591,PDF 5 页,scan/pdf_text/2_论文精读提示词2.0-迪娜学姐.md
提示词/3_AI辅助实验设计和图表呈现2.0-迪娜学姐.pdf,,311834,PDF 3 页,scan/pdf_text/3_AI辅助实验设计和图表呈现2.0-迪娜学姐.md
提示词/4_Introduction前言撰写提示词2.0-迪娜学姐.pdf,,399764,PDF 11 页,scan/pdf_text/4_Introduction前言撰写提示词2.0-迪娜学姐.md
提示词/5_AI撰写Methods部分2.0-迪娜学姐.pdf,,297907,PDF 2 页,scan/pdf_text/5_AI撰写Methods部分2.0-迪娜学姐.md
提示词/6_AI撰写Results和Figure_legend部分2.0-迪娜学姐.pdf,,307152,PDF 3 页,scan/pdf_text/6_AI撰写Results和Figure_legend部分2.0-迪娜学姐.md
提示词/7_Discussion撰写提示词2.0-迪娜学姐.pdf,,422948,PDF 9 页,scan/pdf_text/7_Discussion撰写提示词2.0-迪娜学姐.md
提示词/8_AI撰写论文标题_摘要_结论提示词prompt2.0-迪娜学姐.pdf,,411980,PDF 10 页,scan/pdf_text/8_AI撰写论文标题_摘要_结论提示词prompt2.0-迪娜学姐.md
提示词/9_AI撰写论文Highlights提示词2.0-迪娜学姐.pdf,,269979,PDF 3 页,scan/pdf_text/9_AI撰写论文Highlights提示词2.0-迪娜学姐.md
SKILL/academic-peer-review-skill-迪娜学姐.zip,,19097,原始 skill 压缩包,
SKILL/academic-peer-review-skill-迪娜学姐.zip,academic-peer-review.zip,18667,嵌套压缩包，已继续展开,scan/unpacked_normalized/academic-peer-review-skill-迪娜学姐/academic-peer-review.zip
SKILL/academic-peer-review-skill-迪娜学姐.zip!academic-peer-review.zip,academic-peer-review/references/reporting-guidelines.md,6630,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/academic-peer-review-skill-迪娜学姐/academic-peer-review/academic-peer-review/references/reporting-guidelines.md
SKILL/academic-peer-review-skill-迪娜学姐.zip!academic-peer-review.zip,academic-peer-review/references/review-examples.md,14189,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/academic-peer-review-skill-迪娜学姐/academic-peer-review/academic-peer-review/references/review-examples.md
SKILL/academic-peer-review-skill-迪娜学姐.zip!academic-peer-review.zip,academic-peer-review/SKILL.md,21174,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/academic-peer-review-skill-迪娜学姐/academic-peer-review/academic-peer-review/SKILL.md
SKILL/academic-peer-review-skill-迪娜学姐.zip,使用说明.md,908,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/academic-peer-review-skill-迪娜学姐/使用说明.md
SKILL/Codex全功能万字实用指南（科研版）-迪娜学姐.pdf,,1904487,PDF 33 页,scan/pdf_text/Codex全功能万字实用指南（科研版）-迪娜学姐.md
SKILL/cover letter撰写skill-迪娜学姐.zip,,8081,原始 skill 压缩包,
SKILL/cover letter撰写skill-迪娜学姐.zip,cover letter撰写skill-迪娜学姐/Cover letter 撰写 skill 使用说明.txt,928,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/cover letter撰写skill-迪娜学姐/cover letter撰写skill-迪娜学姐/Cover letter 撰写 skill 使用说明.txt
SKILL/cover letter撰写skill-迪娜学姐.zip,cover letter撰写skill-迪娜学姐/write-journal-cover-letter/SKILL.md,16716,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/cover letter撰写skill-迪娜学姐/cover letter撰写skill-迪娜学姐/write-journal-cover-letter/SKILL.md
SKILL/cover letter撰写skill-迪娜学姐.zip,cover letter撰写skill-迪娜学姐/write-journal-cover-letter/agents/openai.yaml,363,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/cover letter撰写skill-迪娜学姐/cover letter撰写skill-迪娜学姐/write-journal-cover-letter/agents/openai.yaml
SKILL/proof校对skill-迪娜学姐.zip,,26184,原始 skill 压缩包,
SKILL/proof校对skill-迪娜学姐.zip,proof校对skill-迪娜学姐/proofread-journal-manuscripts/SKILL.md,16808,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/proof校对skill-迪娜学姐/proof校对skill-迪娜学姐/proofread-journal-manuscripts/SKILL.md
SKILL/proof校对skill-迪娜学姐.zip,proof校对skill-迪娜学姐/proofread-journal-manuscripts/agents/openai.yaml,333,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/proof校对skill-迪娜学姐/proof校对skill-迪娜学姐/proofread-journal-manuscripts/agents/openai.yaml
SKILL/proof校对skill-迪娜学姐.zip,proof校对skill-迪娜学姐/proofread-journal-manuscripts/references/macos-fontconfig.conf,280,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/proof校对skill-迪娜学姐/proof校对skill-迪娜学姐/proofread-journal-manuscripts/references/macos-fontconfig.conf
SKILL/proof校对skill-迪娜学姐.zip,proof校对skill-迪娜学姐/proofread-journal-manuscripts/scripts/__pycache__/build_proofreading_report.cpython-312.pyc,23427,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/proof校对skill-迪娜学姐/proof校对skill-迪娜学姐/proofread-journal-manuscripts/scripts/__pycache__/build_proofreading_report.cpython-312.pyc
SKILL/proof校对skill-迪娜学姐.zip,proof校对skill-迪娜学姐/proofread-journal-manuscripts/scripts/build_proofreading_report.py,16808,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/proof校对skill-迪娜学姐/proof校对skill-迪娜学姐/proofread-journal-manuscripts/scripts/build_proofreading_report.py
SKILL/proof校对skill-迪娜学姐.zip,proof校对skill-迪娜学姐/校对skill使用说明.txt,995,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/proof校对skill-迪娜学姐/proof校对skill-迪娜学姐/校对skill使用说明.txt
SKILL/中译英skill-迪娜学姐.zip,,9162,原始 skill 压缩包,
SKILL/中译英skill-迪娜学姐.zip,中译英skill-迪娜学姐/中译英Skill 使用说明.txt,2495,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/中译英skill-迪娜学姐/中译英skill-迪娜学姐/中译英Skill 使用说明.txt
SKILL/中译英skill-迪娜学姐.zip,__MACOSX/中译英skill-迪娜学姐/._中译英Skill 使用说明.txt,617,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/中译英skill-迪娜学姐/__MACOSX/中译英skill-迪娜学姐/._中译英Skill 使用说明.txt
SKILL/中译英skill-迪娜学姐.zip,__MACOSX/中译英skill-迪娜学姐/._translate-academic-manuscript-zh-to-en,220,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/中译英skill-迪娜学姐/__MACOSX/中译英skill-迪娜学姐/._translate-academic-manuscript-zh-to-en
SKILL/中译英skill-迪娜学姐.zip,中译英skill-迪娜学姐/translate-academic-manuscript-zh-to-en/SKILL.md,11834,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/中译英skill-迪娜学姐/中译英skill-迪娜学姐/translate-academic-manuscript-zh-to-en/SKILL.md
SKILL/中译英skill-迪娜学姐.zip,中译英skill-迪娜学姐/translate-academic-manuscript-zh-to-en/agents/openai.yaml,321,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/中译英skill-迪娜学姐/中译英skill-迪娜学姐/translate-academic-manuscript-zh-to-en/agents/openai.yaml
SKILL/论文 highlights 生成 skill-迪娜学姐.zip,,7688,原始 skill 压缩包,
SKILL/论文 highlights 生成 skill-迪娜学姐.zip,论文 highlights 生成 skill-迪娜学姐/Highlights 生成 Skill 使用说明.txt,2519,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文 highlights 生成 skill-迪娜学姐/论文 highlights 生成 skill-迪娜学姐/Highlights 生成 Skill 使用说明.txt
SKILL/论文 highlights 生成 skill-迪娜学姐.zip,论文 highlights 生成 skill-迪娜学姐/generate-paper-highlights/SKILL.md,7954,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文 highlights 生成 skill-迪娜学姐/论文 highlights 生成 skill-迪娜学姐/generate-paper-highlights/SKILL.md
SKILL/论文 highlights 生成 skill-迪娜学姐.zip,论文 highlights 生成 skill-迪娜学姐/generate-paper-highlights/agents/openai.yaml,294,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文 highlights 生成 skill-迪娜学姐/论文 highlights 生成 skill-迪娜学姐/generate-paper-highlights/agents/openai.yaml
SKILL/论文 highlights 生成 skill-迪娜学姐.zip,论文 highlights 生成 skill-迪娜学姐/generate-paper-highlights/scripts/check_highlights.py,2120,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文 highlights 生成 skill-迪娜学姐/论文 highlights 生成 skill-迪娜学姐/generate-paper-highlights/scripts/check_highlights.py
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,,13544,原始 skill 压缩包,
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,Polish_Academic_Manuscript_Skill_使用说明.txt,1670,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/Polish_Academic_Manuscript_Skill_使用说明.txt
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,__MACOSX/._Polish_Academic_Manuscript_Skill_使用说明.txt,459,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/__MACOSX/._Polish_Academic_Manuscript_Skill_使用说明.txt
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,__MACOSX/._polish-academic-manuscript,220,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/__MACOSX/._polish-academic-manuscript
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,polish-academic-manuscript/.DS_Store,10244,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/polish-academic-manuscript/.DS_Store
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,__MACOSX/polish-academic-manuscript/._.DS_Store,120,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/__MACOSX/polish-academic-manuscript/._.DS_Store
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,polish-academic-manuscript/SKILL.md,9865,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/polish-academic-manuscript/SKILL.md
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,__MACOSX/polish-academic-manuscript/._SKILL.md,416,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/__MACOSX/polish-academic-manuscript/._SKILL.md
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,polish-academic-manuscript/references/editorial-standard.md,6273,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/polish-academic-manuscript/references/editorial-standard.md
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,__MACOSX/polish-academic-manuscript/references/._editorial-standard.md,176,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/__MACOSX/polish-academic-manuscript/references/._editorial-standard.md
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,polish-academic-manuscript/agents/openai.yaml,268,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/polish-academic-manuscript/agents/openai.yaml
SKILL/论文精细化全文润色Skill-迪娜学姐.zip,__MACOSX/polish-academic-manuscript/agents/._openai.yaml,176,系统元数据/编译缓存，仅登记，不进入执行目录,scan/unpacked_normalized/论文精细化全文润色Skill-迪娜学姐/__MACOSX/polish-academic-manuscript/agents/._openai.yaml
SKILL/论文选刊Skill-by迪娜学姐.zip,,20990,原始 skill 压缩包,
SKILL/论文选刊Skill-by迪娜学姐.zip,SCI论文选刊-skill使用说明.txt,1293,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文选刊Skill-by迪娜学姐/SCI论文选刊-skill使用说明.txt
SKILL/论文选刊Skill-by迪娜学姐.zip,recommend-sci-journals-report/SKILL.md,13907,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文选刊Skill-by迪娜学姐/recommend-sci-journals-report/SKILL.md
SKILL/论文选刊Skill-by迪娜学姐.zip,recommend-sci-journals-report/agents/openai.yaml,331,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文选刊Skill-by迪娜学姐/recommend-sci-journals-report/agents/openai.yaml
SKILL/论文选刊Skill-by迪娜学姐.zip,recommend-sci-journals-report/references/2026-journal-risk-lists-through-july.md,3593,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文选刊Skill-by迪娜学姐/recommend-sci-journals-report/references/2026-journal-risk-lists-through-july.md
SKILL/论文选刊Skill-by迪娜学姐.zip,recommend-sci-journals-report/references/report-data-schema.md,3262,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文选刊Skill-by迪娜学姐/recommend-sci-journals-report/references/report-data-schema.md
SKILL/论文选刊Skill-by迪娜学姐.zip,recommend-sci-journals-report/scripts/check_journal_risk.py,7326,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文选刊Skill-by迪娜学姐/recommend-sci-journals-report/scripts/check_journal_risk.py
SKILL/论文选刊Skill-by迪娜学姐.zip,recommend-sci-journals-report/scripts/render_journal_report.py,16128,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文选刊Skill-by迪娜学姐/recommend-sci-journals-report/scripts/render_journal_report.py
SKILL/论文降重skill-迪娜学姐.zip,,5828,原始 skill 压缩包,
SKILL/论文降重skill-迪娜学姐.zip,SCI论文降重改写Skill使用说明.txt,2077,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文降重skill-迪娜学姐/SCI论文降重改写Skill使用说明.txt
SKILL/论文降重skill-迪娜学姐.zip,rewrite-academic-overlap/SKILL.md,8344,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文降重skill-迪娜学姐/rewrite-academic-overlap/SKILL.md
SKILL/论文降重skill-迪娜学姐.zip,rewrite-academic-overlap/agents/openai.yaml,307,已逐文件审读，具体结论见02号报告,scan/unpacked_normalized/论文降重skill-迪娜学姐/rewrite-academic-overlap/agents/openai.yaml
